Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E28,0.67,Shrink Sleeve,1.1334833386210192,1.0951066413535244,0.011933217592592645
Additional Days,E28,0.68,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.68,PSL,17.08240871904374,9.803015802551556,0.27622037037037084
Additional Days,E28,0.68,Roll Sleeve,0.055649629198322004,0.03279928781799063,1.2462791666666668
Additional Days,E28,0.68,Shrink Sleeve,1.1693214085631283,1.2031791407062968,0.04773287037037058
Additional Days,E28,0.69,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.69,PSL,18.78111649023893,10.047948417596274,0.3275407407407408
Additional Days,E28,0.69,Roll Sleeve,0.058394052412943764,0.0344834485024233,1.3155168981481473
Additional Days,E28,0.69,Shrink Sleeve,1.2050866335355792,1.310694061480561,0.08353252314814791
Additional Days,E28,0.7,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.7,PSL,20.04300614391532,10.208697994629688,0.3667592592592592
Additional Days,E28,0.7,Roll Sleeve,0.06110622141613986,0.03615423435525311,1.3847546296296287
Additional Days,E28,0.7,Shrink Sleeve,1.240779235411459,1.4176557076473415,0.11933217592592583
Additional Days,E28,0.71,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.71,PSL,20.616948340652073,10.219048492596357,0.38419444444444445
Additional Days,E28,0.71,Roll Sleeve,0.06378670149419424,0.03781180407150464,1.4539923611111103
Additional Days,E28,0.71,Shrink Sleeve,1.2763994351637038,1.5240683389946525,0.15513182870370376
Additional Days,E28,0.72,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.72,PSL,22.051386942004882,10.233987950331652,0.42689629629629633
Additional Days,E28,0.72,Roll Sleeve,0.06643604480052673,0.03945631384549558,1.523230092592592
Additional Days,E28,0.72,Shrink Sleeve,1.313162779388449,1.5695067330223225,0.23964953703703662
Additional Days,E28,0.73,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.73,PSL,24.049480419918098,10.252366464305965,0.48854814814814773
Additional Days,E28,0.73,Roll Sleeve,0.06905479073487364,0.04108791741990109,1.5924678240740733
Additional Days,E28,0.73,Shrink Sleeve,1.3507586912105083,1.5695067330223225,0.36070578703703715
Additional Days,E28,0.74,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.74,PSL,24.818689669034413,10.291633345769014,0.502263425925926
